Method,PSNR (dB),SSIM
Noisy Input,17.578,0.423
Gaussian Smoothing,18.919,0.55
Median Filter,19.438,0.519
Bilateral Filter,18.806,0.46
Non-Local Means,20.261,0.583
Wavelet Denoising,19.393,0.528
Skimage TV,19.376,0.569
Classical PM (16 iter),19.496,0.535
Unified Neural PDE (Ours),24.586,0.713
